Date,Open,High,Low,Close*,Adj Close**,Volume,Daily_Return,Log_Return,MA_20,Volatility_20,Intraday_Range,DayOfWeek,Month,Quarter,RSI,MACD,MACD_Signal,MACD_Diff,Bollinger_High,Bollinger_Low,Bollinger_Percent,Bollinger_Width,OBV,ADX,Anomaly
2023-04-28,33797.43,34104.56,33728.4,34098.16,34098.16,354310000,,,,,376.1599999999962,4,4,2,,,,,,,,,354310000,0.0,
2023-04-27,33381.66,33859.75,33374.65,33826.16,33826.16,343240000,-0.007976970018323537,-0.008008956259409478,,,485.09999999999854,3,4,2,,,,,,,,,11070000,0.0,
2023-04-26,33596.34,33645.83,33235.85,33301.87,33301.87,321170000,-0.015499542366026797,-0.015620916064087506,,,409.9800000000032,2,4,2,,,,,,,,,-310100000,0.0,
2023-04-25,33828.34,33875.49,33525.39,33530.83,33530.83,297880000,0.006875289585839939,0.0068517625575917,,,350.09999999999854,1,4,2,,,,,,,,,-12220000,0.0,
2023-04-24,33805.04,33891.15,33726.09,33875.4,33875.4,252020000,0.010276214456963917,0.010223773124782634,,,165.06000000000495,0,4,2,,,,,,,,,239800000,0.0,
2023-04-21,33793.6,33858.83,33688.57,33808.96,33808.96,291080000,-0.0019613052539602105,-0.0019632311316778775,,,170.26000000000204,4,4,2,,,,,,,,,-51280000,0.0,
2023-04-20,33740.6,33875.39,33677.74,33786.62,33786.62,307910000,-0.0006607715824442639,-0.0006609899882025255,,,197.65000000000146,3,4,2,,,,,,,,,-359190000,0.0,
2023-04-19,33889.83,33957.98,33814.65,33897.01,33897.01,251490000,0.0032672697061735256,0.0032619437781827797,,,143.33000000000175,2,4,2,,,,,,,,,-107700000,0.0,
2023-04-18,33965.16,34018.62,33791.89,33976.63,33976.63,253570000,0.0023488797389503713,0.0023461254331152846,,,226.7300000000032,1,4,2,,,,,,,,,145870000,0.0,
2023-04-17,33930.46,33991.23,33796.91,33987.18,33987.18,234530000,0.0003105075459219897,0.00031045934843081747,,,194.3199999999997,0,4,2,,,,,,,,,380400000,0.0,
2023-04-14,33981.71,34082.94,33730.85,33886.47,33886.47,276720000,-0.002963176115229338,-0.0029675750135303735,,,352.0900000000038,4,4,2,,,,,,,,,103680000,0.0,
2023-04-13,33668.97,34054.99,33605.17,34029.69,34029.69,277230000,0.004226465607069851,0.0042175591876042464,,,449.8199999999997,3,4,2,,,,,,,,,380910000,0.0,
2023-04-12,33764.21,33895.43,33593.32,33646.5,33646.5,260300000,-0.011260461085599194,-0.011324340068100793,,,302.1100000000006,2,4,2,,,,,,,,,120610000,0.0,
2023-04-11,33586.75,33781.29,33586.75,33684.79,33684.79,241430000,0.0011380084109788857,0.0011373613702524907,,,194.54000000000087,1,4,2,41.18214987785396,,,,,,,,362040000,0.0,
2023-04-10,33425.25,33590.24,33343.43,33586.52,33586.52,232920000,-0.0029173404376279244,-0.002921604169767038,,,246.80999999999767,0,4,2,38.310030891057785,,,,,,,,129120000,0.0,
2023-04-06,33420.96,33525.96,33325.37,33485.29,33485.29,258680000,-0.0030140068098748474,-0.0030185580757313216,,,200.5899999999965,3,4,2,35.55887976328917,,,,,,,,-129560000,0.0,
2023-04-05,33394.6,33543.84,33376.27,33482.72,33482.72,286660000,-7.675011923147235e-05,-7.675306467258296e-05,,,167.5699999999997,2,4,2,35.48919999062541,,,,,,,,-416220000,0.0,
